checkpoint,ep_label,learn_steps,k,win_d4,noloss_d4,wld_d4,nodes_d4,win_d5,noloss_d5,wld_d5,nodes_d5
checkpoint_first.pt,first,17,3,0.0,0.0,0/14/0,50.0,0.0,0.0,0/14/0,53.0
checkpoint_ep000500.pt,ep500,7906,3,14.3,28.6,2/10/2,82.0,0.0,0.0,0/14/0,64.0
checkpoint_ep001000.pt,ep1000,15954,3,14.3,57.1,2/6/6,80.0,0.0,0.0,0/14/0,79.0
checkpoint_ep001500.pt,ep1500,24153,3,21.4,64.3,3/5/6,103.0,0.0,7.1,0/13/1,70.0
checkpoint_ep002000.pt,ep2000,32570,3,14.3,78.6,2/3/9,100.0,7.1,7.1,1/13/0,92.0
checkpoint_ep002500.pt,ep2500,40768,3,35.7,85.7,5/2/7,86.0,0.0,7.1,0/13/1,82.0
checkpoint_ep003000.pt,ep3000,48940,3,21.4,64.3,3/5/6,104.0,0.0,7.1,0/13/1,64.0
checkpoint_ep003500.pt,ep3500,57428,3,14.3,71.4,2/4/8,84.0,0.0,0.0,0/14/0,82.0
checkpoint_ep004000.pt,ep4000,65439,3,28.6,64.3,4/5/5,71.0,0.0,0.0,0/14/0,76.0
checkpoint_final.pt,final,65439,3,28.6,64.3,4/5/5,71.0,0.0,0.0,0/14/0,76.0
