game_id,result,reward,half_moves,dqn_moves,avg_ms_per_move
1,1,1.0,51,26,0.52
2,1,1.0,50,25,0.442
3,1,1.0,51,26,0.469
4,1,1.0,50,25,0.476
5,1,1.0,51,26,0.442
6,1,1.0,50,25,0.437
7,1,1.0,51,26,0.416
8,1,1.0,50,25,0.389
9,1,1.0,51,26,0.404
10,1,1.0,50,25,0.418
11,1,1.0,51,26,0.446
12,1,1.0,50,25,0.431
13,1,1.0,51,26,0.521
14,1,1.0,50,25,0.469
15,1,1.0,51,26,0.474
16,1,1.0,50,25,0.402
17,1,1.0,51,26,0.401
18,1,1.0,50,25,0.402
19,1,1.0,51,26,0.455
20,1,1.0,50,25,0.38
21,1,1.0,51,26,0.441
22,1,1.0,50,25,0.445
23,1,1.0,51,26,0.418
24,1,1.0,50,25,0.4
25,1,1.0,51,26,0.43
26,1,1.0,50,25,0.402
27,1,1.0,51,26,0.43
28,1,1.0,50,25,0.413
29,1,1.0,51,26,0.494
30,1,1.0,50,25,0.437
