episode,avg_loss,epsilon,win_rate,learn_steps
50,0.002248,0.9868,0.42,696
100,0.003399,0.9741,0.46,1361
150,0.006815,0.9606,0.46,2075
200,0.002681,0.9466,0.5,2813
250,0.002588,0.932,0.6,3579
300,0.003503,0.9172,0.46,4359
350,0.003511,0.9046,0.44,5022
400,0.003283,0.8901,0.46,5784
450,0.003189,0.8772,0.52,6463
500,0.003657,0.8626,0.54,7233
550,0.002568,0.8488,0.54,7959
600,0.002249,0.835,0.36,8685
650,0.003709,0.8217,0.54,9385
700,0.003219,0.808,0.4,10104
750,0.002288,0.795,0.5,10790
800,0.002165,0.7802,0.4,11570
850,0.002597,0.7654,0.4,12349
900,0.003452,0.75,0.54,13158
950,0.00257,0.7362,0.56,13884
1000,0.00236,0.7207,0.44,14701
