episode,avg_loss,epsilon,win_rate,learn_steps
100,0.003135,0.9692,0.42,1622
200,0.004336,0.9343,0.54,3456
300,0.004999,0.9013,0.57,5197
400,0.003974,0.8674,0.46,6979
500,0.00434,0.8364,0.41,8608
600,0.005023,0.8021,0.43,10417
700,0.004218,0.7675,0.39,12239
800,0.004125,0.7342,0.53,13989
900,0.003979,0.7002,0.46,15781
1000,0.00389,0.6631,0.49,17731
1100,0.004875,0.6277,0.43,19595
1200,0.004191,0.5922,0.45,21465
1300,0.004345,0.5577,0.45,23278
1400,0.003958,0.5248,0.48,25013
1500,0.003737,0.4882,0.42,26935
1600,0.003863,0.452,0.4,28840
1700,0.004133,0.4143,0.39,30825
1800,0.003744,0.3791,0.37,32681
1900,0.003545,0.3426,0.41,34602
2000,0.003794,0.3071,0.43,36471
2100,0.003725,0.2695,0.27,38446
2200,0.003756,0.2335,0.28,40343
2300,0.003975,0.1994,0.28,42138
2400,0.003705,0.1675,0.3,43815
2500,0.004295,0.1358,0.26,45485
2600,0.004602,0.106,0.34,47051
2700,0.003888,0.0746,0.26,48706
2800,0.004311,0.05,0.3,50367
2900,0.004006,0.05,0.24,51985
3000,0.004012,0.05,0.26,53540
