group,name,lr,gamma,buffer,target_div,hidden,win_rate,avg_loss,learn_steps
hparams,baseline,0.001,0.99,5000,10,512x512,0.4,0.002747,2969
hparams,lr=5e-4,0.0005,0.99,5000,10,512x512,0.2,0.001934,2969
hparams,lr=1e-4,0.0001,0.99,5000,10,512x512,0.15,0.002762,2969
hparams,gamma=0.95,0.001,0.95,5000,10,512x512,0.45,0.002384,2969
hparams,gamma=0.90,0.001,0.9,5000,10,512x512,0.5,0.002005,2969
hparams,buffer=20k,0.001,0.99,20000,10,512x512,0.4,0.002173,2969
hparams,target=rápido,0.001,0.99,5000,40,512x512,0.45,0.003381,2969
hparams,target=lento,0.001,0.99,5000,4,512x512,0.3,0.002479,2969
arch,mlp-256x2,0.001,0.99,5000,10,256x256,0.25,0.002292,2969
arch,mlp-512x2,0.001,0.99,5000,10,512x512,0.6,0.002377,2969
arch,mlp-512x2-1024,0.001,0.99,5000,10,512x512x1024,0.65,0.003488,2969
